%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0126"
"Revision","REV3.01A"
"Subtype","&H0060005C"
"Memory","MEM1984K"
"CommPort","0"
"BaudRate","115200"
"DeviceName","Volt101A-160mV"
"DeviceDescription","Voltage Recorder"
"Status","&H00028000"
"Address","&H00006EB2"
"Wraps","0"
"Readings","14169"
"Triggers","0"
"TimeZone","TZUTC-100000|STANDARD|HST"
"Clock","41214.0513252315"
"LaunchDate","36526"
"StartDelay",""
"StartDate","41164.7916666667"
"ReadingRate","R5M"
"SerialNumber","N74546"
"UserID","G1 Cs"
"Password","&H00000000"
"Channels","1"
"CalibrationDate","40985"
"CalibrationOffset(0)","+0"
"CalibrationGain(0)","+1.0001564"
"Unit(0)","UNITMILLIVOLTS"
"UnitType(0)","UTYPVOLTAGE"
"AlarmEnabled","False"
"AlarmActive","False"
"LowAlarm","-160"
"HighAlarm","-163.815"
"AlarmDelay","0"
"TriggerMode","TMTWOPOINT"
"TriggerEnabledLow","False"
"TriggerEnabledHigh","False"
"TriggerFillMemory","False"
"TriggerStartLow","-163.815"
"TriggerStopLow","-163.815"
"TriggerStartHigh","-163.815"
"TriggerStopHigh","-163.815"
"TriggerWindowCount","0"
"EngineeringUnitsEnabled","False"
"EngineeringUnitsPrompt","False"
"EngineeringUnitsPortable","True"
"EngineeringUnitsUnit(0)","UNITNONE"
"EngineeringUnitsDescription",""
"EngineeringUnitsLabel",""
"EngineeringUnitsGain","+0"
"EngineeringUnitsOffset","+0"
"ChannelName(0)",""
"PowerStatus","10001"
"[End Device]"

"[Dataset]"
"Title","Untitled Dataset"
"Comment",""
"Version","2.07.1"
"Created","41726.6863773148"
"Updated","41726.6863773148"
"TimeZone","TZUTC-100000|STANDARD|HST"
"StartDate","41164.7916666667"
"EndDate","41213.9861111111"
"DataMode","DMSTANDARD"
"Channels","1"
"Readings","14169"
"[End Dataset]"

"[Display]"
"BackColor","&H00FFFFFF"
"ChartColor","&H00F0FFFF"
"GridMajor","5"
"GridMinor","2"
"TimeZone","TZUTC-100000|STANDARD|HST"
"StartTime","41164"
"EndTime","41214"
"Channels","1"
"Enabled(0)","True"
"Visible(0)","True"
"Unit(0)","UNITMILLIVOLTS"
"UnitType(0)","UTYPVOLTAGE"
"MinValue(0)","-100"
"MaxValue(0)","+200"
"ForeColor(0)","&H000000FF"
"FillColor(0)","&H00000000"
"FillStyle(0)","FSSOLID"
"DrawWidth(0)","1"
"SymbolStyle(0)","SYMSOLIDSQUARE"
"SymbolSize(0)","1"
"SymbolColor(0)","&H00000000"
"Symbols(0)","128"
"[End Display]"

"[Reading]"
# ID #,# DateTime #,# Voltage (mV) #,# StatusByte #,# Annotation #,# Status #,# Selections #
"0","41164.7916666667","+0","0","","&B10000000","&B00000000"
"1","41164.7951388889","+0","0","","&B10000000","&B00000000"
"2","41164.7986111111","+0","0","","&B10000000","&B00000000"
"3","41164.8020833333","+0","0","","&B10000000","&B00000000"
"4","41164.8055555556","+0","0","","&B10000000","&B00000000"
"5","41164.8090277778","+0","0","","&B10000000","&B00000000"
"6","41164.8125","+0","0","","&B10000000","&B00000000"
"7","41164.8159722222","+0","0","","&B10000000","&B00000000"
"8","41164.8194444444","+0","0","","&B10000000","&B00000000"
"9","41164.8229166667","+0","0","","&B10000000","&B00000000"
"10","41164.8263888889","+0","0","","&B10000000","&B00000000"
"11","41164.8298611111","+0","0","","&B10000000","&B00000000"
"12","41164.8333333333","+0","0","","&B10000000","&B00000000"
"13","41164.8368055556","+0","0","","&B10000000","&B00000000"
"14","41164.8402777778","+0","0","","&B10000000","&B00000000"
"15","41164.84375","+0","0","","&B10000000","&B00000000"
"16","41164.8472222222","+0","0","","&B10000000","&B00000000"
"17","41164.8506944444","+0","0","","&B10000000","&B00000000"
"18","41164.8541666667","+0","0","","&B10000000","&B00000000"
"19","41164.8576388889","+0","0","","&B10000000","&B00000000"
"20","41164.8611111111","+0","0","","&B10000000","&B00000000"
"21","41164.8645833333","+0","0","","&B10000000","&B00000000"
"22","41164.8680555556","+0","0","","&B10000000","&B00000000"
"23","41164.8715277778","+0","0","","&B10000000","&B00000000"
"24","41164.875","+0","0","","&B10000000","&B00000000"
"25","41164.8784722222","-0.005","0","","&B10000000","&B00000000"
"26","41164.8819444444","+0","0","","&B10000000","&B00000000"
"27","41164.8854166667","+0","0","","&B10000000","&B00000000"
"28","41164.8888888889","+0","0","","&B10000000","&B00000000"
"29","41164.8923611111","+0","0","","&B10000000","&B00000000"
"30","41164.8958333333","+0","0","","&B10000000","&B00000000"
"31","41164.8993055556","+0","0","","&B10000000","&B00000000"
"32","41164.9027777778","+0","0","","&B10000000","&B00000000"
"33","41164.90625","+0","0","","&B10000000","&B00000000"
"34","41164.9097222222","+0","0","","&B10000000","&B00000000"
"35","41164.9131944444","+0","0","","&B10000000","&B00000000"
"36","41164.9166666667","+0","0","","&B10000000","&B00000000"
"37","41164.9201388889","+0","0","","&B10000000","&B00000000"
"38","41164.9236111111","+0","0","","&B10000000","&B00000000"
"39","41164.9270833333","+0","0","","&B10000000","&B00000000"
"40","41164.9305555556","+0","0","","&B10000000","&B00000000"
"41","41164.9340277778","+0","0","","&B10000000","&B00000000"
"42","41164.9375","+0","0","","&B10000000","&B00000000"
"43","41164.9409722222","+0","0","","&B10000000","&B00000000"
"44","41164.9444444444","+0","0","","&B10000000","&B00000000"
"45","41164.9479166667","+0","0","","&B10000000","&B00000000"
"46","41164.9513888889","+0","0","","&B10000000","&B00000000"
"47","41164.9548611111","-0.005","0","","&B10000000","&B00000000"
"48","41164.9583333333","+0","0","","&B10000000","&B00000000"
"49","41164.9618055556","-0.005","0","","&B10000000","&B00000000"
"50","41164.9652777778","+0","0","","&B10000000","&B00000000"
"51","41164.96875","+0","0","","&B10000000","&B00000000"
"52","41164.9722222222","+0","0","","&B10000000","&B00000000"
"53","41164.9756944444","+0","0","","&B10000000","&B00000000"
"54","41164.9791666667","+0","0","","&B10000000","&B00000000"
"55","41164.9826388889","+0","0","","&B10000000","&B00000000"
"56","41164.9861111111","+0","0","","&B10000000","&B00000000"
"57","41164.9895833333","+0","0","","&B10000000","&B00000000"
"58","41164.9930555556","+0","0","","&B10000000","&B00000000"
"59","41164.9965277778","+0","0","","&B10000000","&B00000000"
"60","41165","+0","0","","&B10000000","&B00000000"
"61","41165.0034722222","+0","0","","&B10000000","&B00000000"
"62","41165.0069444444","+0","0","","&B10000000","&B00000000"
"63","41165.0104166667","+0","0","","&B10000000","&B00000000"
"64","41165.0138888889","+0","0","","&B10000000","&B00000000"
"65","41165.0173611111","+0","0","","&B10000000","&B00000000"
"66","41165.0208333333","+0","0","","&B10000000","&B00000000"
"67","41165.0243055556","+0","0","","&B10000000","&B00000000"
"68","41165.0277777778","+0","0","","&B10000000","&B00000000"
"69","41165.03125","+0","0","","&B10000000","&B00000000"
"70","41165.0347222222","+0","0","","&B10000000","&B00000000"
"71","41165.0381944444","+0","0","","&B10000000","&B00000000"
"72","41165.0416666667","+0","0","","&B10000000","&B00000000"
"73","41165.0451388889","+0","0","","&B10000000","&B00000000"
"74","41165.0486111111","+0","0","","&B10000000","&B00000000"
"75","41165.0520833333","+0","0","","&B10000000","&B00000000"
"76","41165.0555555556","+0","0","","&B10000000","&B00000000"
"77","41165.0590277778","+0","0","","&B10000000","&B00000000"
"78","41165.0625","+0","0","","&B10000000","&B00000000"
"79","41165.0659722222","+0","0","","&B10000000","&B00000000"
"80","41165.0694444444","+0","0","","&B10000000","&B00000000"
"81","41165.0729166667","+0","0","","&B10000000","&B00000000"
"82","41165.0763888889","+0","0","","&B10000000","&B00000000"
"83","41165.0798611111","-0.005","0","","&B10000000","&B00000000"
"84","41165.0833333333","+0","0","","&B10000000","&B00000000"
"85","41165.0868055556","+0","0","","&B10000000","&B00000000"
"86","41165.0902777778","+0","0","","&B10000000","&B00000000"
"87","41165.09375","+0","0","","&B10000000","&B00000000"
"88","41165.0972222222","+0","0","","&B10000000","&B00000000"
"89","41165.1006944444","+0","0","","&B10000000","&B00000000"
"90","41165.1041666667","+0","0","","&B10000000","&B00000000"
"91","41165.1076388889","+0","0","","&B10000000","&B00000000"
"92","41165.1111111111","+0","0","","&B10000000","&B00000000"
"93","41165.1145833333","+0","0","","&B10000000","&B00000000"
"94","41165.1180555556","+0","0","","&B10000000","&B00000000"
"95","41165.1215277778","+0","0","","&B10000000","&B00000000"
"96","41165.125","+0","0","","&B10000000","&B00000000"
"97","41165.1284722222","+0","0","","&B10000000","&B00000000"
"98","41165.1319444444","+0","0","","&B10000000","&B00000000"
"99","41165.1354166667","+0","0","","&B10000000","&B00000000"
"100","41165.1388888889","+0","0","","&B10000000","&B00000000"
"101","41165.1423611111","+0","0","","&B10000000","&B00000000"
"102","41165.1458333333","+0","0","","&B10000000","&B00000000"
"103","41165.1493055556","+0","0","","&B10000000","&B00000000"
"104","41165.1527777778","+0","0","","&B10000000","&B00000000"
"105","41165.15625","+0","0","","&B10000000","&B00000000"
"106","41165.1597222222","+0","0","","&B10000000","&B00000000"
"107","41165.1631944444","+0","0","","&B10000000","&B00000000"
"108","41165.1666666667","+0","0","","&B10000000","&B00000000"
"109","41165.1701388889","+0","0","","&B10000000","&B00000000"
"110","41165.1736111111","+0","0","","&B10000000","&B00000000"
"111","41165.1770833333","+0","0","","&B10000000","&B00000000"
"112","41165.1805555556","+0","0","","&B10000000","&B00000000"
"113","41165.1840277778","+0","0","","&B10000000","&B00000000"
"114","41165.1875","+0","0","","&B10000000","&B00000000"
"115","41165.1909722222","+0","0","","&B10000000","&B00000000"
"116","41165.1944444444","+0","0","","&B10000000","&B00000000"
"117","41165.1979166667","+0","0","","&B10000000","&B00000000"
"118","41165.2013888889","+0","0","","&B10000000","&B00000000"
"119","41165.2048611111","+0","0","","&B10000000","&B00000000"
"120","41165.2083333333","+0","0","","&B10000000","&B00000000"
"121","41165.2118055556","+0","0","","&B10000000","&B00000000"
"122","41165.2152777778","+0","0","","&B10000000","&B00000000"
"123","41165.21875","+0","0","","&B10000000","&B00000000"
